beian_hao,fof99_fund_name,fof99_short_name,fof99_advisor,fof99_price_date,fof99_price_nav,fof99_strategy_one,fof99_strategy_two,is_share_class,src_missing_reason,in_private_fund_info,in_amac,amac_fund_name,amac_working_state,amac_manager,has_db_nav,nav_rows,nav_min_date,nav_max_date,info_latest_nav_date,info_latest_nav,in_fof99_universe,fof99_policy,fof99_reason,universe_listed_at,last_fetch_date,last_fetch_status,last_ok_date,empty_date_probe
GT288A,卓尚天道1号私募证券投资基金A类份额,卓尚天道1号A类,上海卓尚,2026-08-24,1.0523,股票多头,主观多头,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
GW985B,合晟磐石专项2号私募证券投资基金B类份额,合晟磐石专项2号B类,上海合晟资管,2026-08-24,1.8314,债券策略,债券复合,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
LQ840A,少数派小微盘优选私募证券投资基金A类份额,少数派小微盘优选A类,上海少薮派投资,2026-08-24,1.1621,股票多头,量化选股,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
NY428B,德远明选量化二号私募证券投资基金B类份额,德远明选量化二号B类,深圳德远投资,2026-08-24,0.873,股票多头,300指增,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
QA043A,星恒哲萌1号私募证券投资基金A类份额,星恒哲萌1号A类,杭州哲萌投资,2026-08-24,1.1806,期货策略,主观期货,yes,not_in_private_fund_info,no,no,,,,no,0,,,,,no,,,,,,,
S80055,鹰傲绝对价值私募证券投资基金,鹰傲绝对价值,广州鹰傲,2026-08-24,2.7562,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,鹰傲绝对价值私募证券投资基金,正在运作,广州鹰傲私募证券投资基金管理有限公司,no,0,,,,,no,,,,,,,
SAAH58,梵星咬金2号私募证券投资基金,梵星咬金2号,上海梵星,2026-08-24,3.068,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,梵星咬金2号私募证券投资基金,正在运作,上海梵星私募基金管理有限公司,no,0,,,,,no,,,,,,,
SABE76,东航金融-夏果精选1号私募证券投资基金,东航金融-夏果精选1号,东航基金,2026-08-24,1.082,期货策略,量化期货,no,in_table_null_latest_nav_date,yes,yes,东航金融-夏果精选1号私募证券投资基金,正在运作,东航私募基金管理有限公司,no,0,,,,,no,,,,,,,
SABS25,玖玖磐石1号私募证券投资基金,玖玖磐石1号,海南玖玖,2026-08-24,1.2133,多资产策略,复合策略,no,in_table_null_latest_nav_date,yes,yes,玖玖磐石1号私募证券投资基金,正在运作,玖玖(海南)私募基金管理合伙企业(有限合伙),no,0,,,,,no,,,,,,,
SAHE48,夷吾晓牛3号私募证券投资基金,夷吾晓牛3号,深圳前海夷吾资管,2026-08-24,1.1841,股票多头,主观多头,no,in_table_null_latest_nav_date,yes,yes,夷吾晓牛3号私募证券投资基金,正在运作,深圳市前海夷吾资产管理有限公司,no,0,,,,,no,,,,,,,
SASP89,恒昇转债量化1号私募证券投资基金,恒昇转债量化1号,深圳恒昇,2026-08-24,1.2667,股票多头,可转债多头,no,in_table_null_latest_nav_date,yes,yes,恒昇转债量化1号私募证券投资基金,正在运作,深圳市恒昇私募证券投资基金管理有限公司,no,0,,,,,no,,,,,,,
