beian_hao,product_name,strategy_l1,strategy_l2,manager,inception_date,ret_1w,ret_1m,ret_3m,ret_6m,ret_1y,sharpe_1y,calmar_1y,perf_filled_count,source_files,in_database,in_private_fund_info,in_private_fund_info_bfl,has_nav,db_product_name,db_latest_nav,db_latest_nav_date,vendor_nav_points,vendor_latest_nav_date,email_type6_nav_points,email_group_nav_points,email_hy_nav_points,in_fof99_universe,fof99_tracking_status,fof99_policy,fof99_reason,fof99_last_ok_date,fof99_last_log_status,in_team_track
AFV86B,黑盒星云稳健1号B类,组合策略,FOF,上海黑盒资管,2024-01-10,+0.10%,+1.04%,-1.62%,-2.67%,+2.91%,0.2208,0.7673,7,私募基金 (4).xlsx,Y,Y,N,Y,黑盒星云稳健1号B类,0.998200,2026-09-04,145,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AFW08B,农夫2号B类,期货策略,主观期货,杭州农夫,2024-01-15,-0.64%,-0.05%,-5.26%,-7.55%,,,,4,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,,N
AFY85A,墨钜明湖1号A类,多资产策略,复合策略,浙江墨钜资管,2024-05-27,-0.36%,+8.90%,+9.06%,+20.60%,+48.07%,2.5532,7.0330,7,私募基金 (3).xlsx,Y,Y,N,Y,墨钜明湖1号A类,1.075200,2026-09-04,127,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AGE96A,慧衍锐智3号A类,套利策略,,上海慧衍,2024-01-19,-1.28%,-1.95%,+0.69%,-2.40%,+5.63%,0.3222,0.8968,7,私募基金 (1).xlsx,Y,Y,N,Y,慧衍锐智3号A类,1.331000,2026-09-10,145,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-01 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
AGF75B,草本慧诚一号B类,期货策略,主观期货,广州草本投资,2024-01-16,+0.24%,+0.05%,+0.60%,+8.21%,,,,4,私募基金.xlsx,Y,Y,N,Y,草本慧诚一号B类,1.349300,2026-09-08,31,2026-09-07,0,0,0,Y,weekly_plus,weekly_plus,1m blank-policy: email usually has the week; weekly_plus Friday FundMultiPrice only if list_nav_date is behind,2026-09-07,ok,N
AGG69A,景行麒麟2号A类,多资产策略,复合策略,上海景行,2024-02-01,-0.34%,+2.70%,-1.88%,-0.58%,+5.46%,0.3599,1.0229,7,私募基金 (3).xlsx,Y,Y,N,Y,景行麒麟2号A类,1.307300,2026-09-04,332,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AGN89A,广联宏丰利1号A类,套利策略,期货套利,海南广联宏,2024-01-31,+2.07%,+6.51%,+10.24%,,,,,3,私募基金 (1).xlsx,Y,Y,N,Y,广联宏丰利1号A类,2.118200,2026-09-10,52,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-03 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok,N
AGR68A,兆信稳进1号A类,套利策略,期权套利,江苏兆信,2024-01-30,-0.04%,+0.12%,+0.61%,+0.55%,+1.58%,-0.6138,4.9132,7,私募基金 (1).xlsx,Y,Y,N,Y,兆信稳进1号A类,1.079700,2026-09-09,143,2026-09-09,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-24 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-09,ok,N
AGT43B,巨量边界ETF对冲1号B类,套利策略,,北京巨量边界,2024-03-28,+0.19%,+0.32%,+2.65%,+3.47%,+8.18%,1.3518,7.7828,7,私募基金 (1).xlsx,Y,Y,N,Y,巨量边界ETF对冲1号B类,1.119700,2026-09-04,124,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AGX89B,庄贤甄选多策略专享3号B类,组合策略,FOF,杭州庄贤投资,2024-02-28,+0.30%,+0.65%,+1.11%,+0.33%,+3.92%,0.8777,3.0081,7,私募基金 (4).xlsx,Y,Y,N,Y,庄贤甄选多策略专享3号B类,1.092200,2026-09-04,139,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
AGY55A,从容风险平衡A类,多资产策略,宏观策略,上海从容投资顾问,2024-03-21,+3.47%,+4.06%,+6.21%,+3.11%,+9.11%,0.4738,0.5898,7,私募基金 (3).xlsx,Y,Y,N,Y,从容风险平衡A类,1.728900,2026-09-04,134,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok,N
