备案号,产品名称,一级策略,二级策略,管理人,成立日期,来源文件,是否在数据库,是否在产品主表,是否在BFL表,是否有净值,数据库产品名称,数据库最新净值,数据库最新净值日期,火富牛净值点数,火富牛最新净值日期,邮箱type6净值点数,邮箱group净值点数,邮箱hy净值点数,是否在火富牛宇宙,火富牛跟踪状态,火富牛策略,火富牛策略原因,火富牛最近成功抓取日,火富牛最近日志状态
SSR889,可为若森全球REITs稳健1期,组合策略,FOF,北京可为,2021-09-13,私募基金 (4).xlsx,Y,Y,N,N,可为若森全球REITs稳健1期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS009,通明安鑫1号,多资产策略,宏观策略,海南通明,2021-09-13,私募基金 (3).xlsx,Y,Y,N,N,通明安鑫1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS010,佳岳清远私享一号,组合策略,FOF,海南佳岳,2022-01-07,私募基金 (4).xlsx,Y,Y,N,N,佳岳清远私享一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS088,量派聚核20号,多资产策略,复合策略,上海量派投资,2021-09-22,私募基金 (3).xlsx,Y,Y,Y,Y,量派聚核20号,2.161000,2026-09-04,256,2026-09-04,0,433,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SSS105,华道多策略进取FOF,组合策略,FOF,北京华道资本投资,2021-09-27,私募基金 (4).xlsx,Y,Y,N,Y,华道多策略进取FOF,1.384000,2026-09-08,321,2026-09-08,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-01 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-08,ok
SSS135,垚犇配置进取,组合策略,FOF,北京垚犇,2021-11-01,私募基金 (4).xlsx,Y,Y,N,N,垚犇配置进取私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS144,江岳复合价值27期,期货策略,量化期货,西安江岳,2021-10-08,私募基金.xlsx,Y,Y,N,N,江岳复合价值27期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS158,祺来发76号,多资产策略,复合策略,福建祺来发资管,2021-09-17,私募基金 (3).xlsx,Y,Y,N,N,祺来发76号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS170,鼎森温商量化12号,期权策略,场内期权,江西鼎森投资,2021-09-09,私募基金 (2).xlsx,Y,Y,N,N,鼎森温商量化12号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS222,同创佳业共赢一号,组合策略,FOF,深圳同创佳业资管,2021-09-17,私募基金 (4).xlsx,Y,Y,N,N,同创佳业共赢一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS243,天源汇智22号,期货策略,主观期货,新疆天源汇智资管,2021-10-18,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SSS301,进化貔貅1号,多资产策略,宏观策略,海南进化,2021-09-15,私募基金 (3).xlsx,Y,Y,N,Y,进化貔貅1号,0.570700,2026-09-04,277,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SSS305,探普仁桥专享1号,组合策略,FOF,上海探普久盈,2021-09-09,私募基金 (4).xlsx,Y,Y,N,N,探普仁桥专享1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS312,思晔金选CTA加1号,期货策略,量化期货,上海思晔投资,2021-10-21,私募基金.xlsx,Y,Y,N,N,思晔金选CTA加1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS352,珠光趋势精选一号,多资产策略,复合策略,广东珠光基金,2021-11-04,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SSS360,优谷鸣谦3号,多资产策略,复合策略,深圳优谷资管,2021-09-23,私募基金 (3).xlsx,Y,Y,N,N,优谷鸣谦3号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS397,麦岛壹加壹睿哲远见1号,多资产策略,复合策略,上海麦道,2021-10-12,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SSS404,歆鋆乐投1号FOF,组合策略,FOF,上海歆鋆投资,2021-09-13,私募基金 (4).xlsx,Y,Y,N,N,歆鋆乐投1号FOF私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS406,瑞智和裕唯腾组合1号,组合策略,FOF,成都瑞智和裕投资,2021-09-29,私募基金 (4).xlsx,Y,Y,N,N,瑞智和裕唯腾组合1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS420,万辅蝴蝶兰量化策略2号,多资产策略,复合策略,深圳大涵,2021-09-22,私募基金 (3).xlsx,Y,Y,N,N,万辅蝴蝶兰量化策略2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS458,熙典基金格兰威特1号,期货策略,量化期货,厦门熙典,2021-09-16,私募基金.xlsx,Y,Y,N,N,熙典基金格兰威特1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS478,融智时夏一号,组合策略,FOF,深圳融智,2021-09-23,私募基金 (4).xlsx,Y,Y,N,N,融智时夏一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS535,弘润资产开元通宝壹号,期货策略,量化期货,上海弘润资管,2021-10-22,私募基金.xlsx,Y,Y,N,N,弘润资产开元通宝壹号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS619,宏桥天鸿锐进母基金,期货策略,量化期货,烟台宏桥,2021-09-22,私募基金.xlsx,Y,Y,N,N,宏桥天鸿锐进母基金私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS625,中量财富泽瑞,多资产策略,复合策略,北京中量财富投资,2021-09-30,私募基金 (3).xlsx,Y,Y,N,N,中量财富泽瑞私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS637,陆生生全天候资产配置,多资产策略,宏观策略,青岛陆生生,2021-09-23,私募基金 (3).xlsx,Y,Y,N,N,陆生生全天候资产配置私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS695,雷丰利茂1号,多资产策略,复合策略,深圳雷丰,2022-11-09,私募基金 (3).xlsx,Y,Y,N,N,雷丰利茂1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS710,中胜峥盈锦绣云程1号,多资产策略,复合策略,深圳中胜峥盈资管,2021-10-22,私募基金 (3).xlsx,Y,Y,N,N,中胜峥盈锦绣云程1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS735,上海致畅谦信一号,多资产策略,复合策略,上海致畅投资,2021-09-23,私募基金 (3).xlsx,Y,Y,N,N,上海致畅谦信一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS785,景唐鸿运5号,多资产策略,复合策略,陕西景唐投资,2021-09-23,私募基金 (3).xlsx,Y,Y,N,N,景唐鸿运5号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS805,元程明中大时代1号,期货策略,量化期货,苏州蜗牛,2021-10-19,私募基金.xlsx,Y,Y,N,N,元程明中大时代1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS849,国道长赢7号,期货策略,量化期货,上海国道资管,2021-09-22,私募基金.xlsx,Y,Y,N,N,国道长赢7号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS852,甬邦蔷薇2号,期货策略,主观期货,宁波甬邦投资,2021-09-13,私募基金.xlsx,Y,Y,N,N,甬邦蔷薇2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS858,爱晖朗腾1号,多资产策略,复合策略,上海爱晖资管,2021-10-26,私募基金 (3).xlsx,Y,Y,N,N,爱晖朗腾1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS861,赛硕紫金山一号,期权策略,场内期权,深圳赛硕基金,2021-09-08,私募基金 (2).xlsx,Y,Y,N,N,赛硕紫金山一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS872,熠道春天一号,期货策略,主观期货,杭州熠道资管,2021-09-16,私募基金.xlsx,Y,Y,N,N,熠道春天一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS890,富利富融1号,期货策略,主观期货,大连富利投资,2021-10-12,私募基金.xlsx,Y,Y,N,N,富利富融1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS891,琨融寅戌同人宏观对冲1号,组合策略,FOF,天津琨融,2021-09-13,私募基金 (4).xlsx,Y,Y,N,N,琨融寅戌同人宏观对冲1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS901,富利永泰历峰1号,多资产策略,复合策略,北京富利永泰投资,2021-10-19,私募基金 (3).xlsx,Y,Y,N,N,富利永泰历峰1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS926,融昊奋进二号,期货策略,主观期货,上海融昊投资,2021-10-13,私募基金.xlsx,Y,Y,N,N,融昊奋进二号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS929,珩景Y1波段P1,期货策略,主观期货,杭州珩景资管,2021-09-27,私募基金.xlsx,Y,Y,N,N,珩景Y1波段P1私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS955,筑金贤雅飒露紫,期货策略,主观期货,上海筑金投资,2021-09-14,私募基金.xlsx,Y,Y,N,N,筑金贤雅飒露紫私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS963,景唐亨通2号,组合策略,FOF,陕西景唐投资,2021-10-21,私募基金 (4).xlsx,Y,Y,N,N,景唐亨通2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS977,幸运星瑞华和裕18号,多资产策略,复合策略,青岛幸运星,2021-09-14,私募基金 (3).xlsx,Y,Y,N,N,幸运星瑞华和裕18号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSS988,昱阳均衡配置1号,组合策略,FOF,广州昱阳,2021-10-29,私募基金 (4).xlsx,Y,Y,N,Y,昱阳均衡配置1号,1.167700,2026-09-04,258,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SST146,弈祖乾瀚二号,多资产策略,复合策略,上海弈祖投资,2021-09-16,私募基金 (3).xlsx,Y,Y,N,N,弈祖乾瀚二号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST205,悟源玲龙一号,期货策略,量化期货,北京悟源资管,2021-11-19,私募基金.xlsx,Y,Y,N,N,悟源玲龙一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST316,小黑妞多资产衍生品1号,多资产策略,复合策略,上海小黑妞资管,2021-09-29,私募基金 (3).xlsx,Y,Y,N,N,小黑妞多资产衍生品1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST324,希塔稳健尊享,组合策略,FOF,上海希塔,2021-09-17,私募基金 (4).xlsx,Y,Y,N,N,希塔稳健尊享私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST351,熠道春天二号,期货策略,主观期货,杭州熠道资管,2021-09-16,私募基金.xlsx,Y,Y,N,Y,熠道春天二号,0.935900,2026-09-01,432,2026-09-01,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-01 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-01,no_data
SST391,菲洛潮涌十七号,多资产策略,复合策略,浙江菲洛资管,2022-03-22,私募基金 (3).xlsx,Y,Y,N,N,菲洛潮涌十七号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST426,厚方健行进取型二号,期货策略,主观期货,广东厚方投资,2021-11-02,私募基金.xlsx,Y,Y,N,N,厚方健行进取型二号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST430,景唐安鸿1号,多资产策略,复合策略,陕西景唐投资,2021-09-24,私募基金 (3).xlsx,Y,Y,N,N,景唐安鸿1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST444,华软新动力远航进取1号,组合策略,FOF,北京华软新动力,2022-01-19,私募基金 (4).xlsx,Y,Y,N,N,华软新动力远航进取1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST453,SAP智龙明斯基一号,期货策略,量化期货,深圳前海智龙,2021-10-18,私募基金.xlsx,Y,Y,Y,Y,SAP智龙明斯基一号,2.165900,2026-09-10,272,2026-09-10,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-09-02 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-10,ok
SST490,弗居量化CTA1号,期货策略,量化期货,芜湖弗居投资,2021-11-17,私募基金.xlsx,Y,Y,N,N,弗居量化CTA1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST500,贝顿星火2号,期权策略,场内期权,广州贝顿,2021-10-26,私募基金 (2).xlsx,Y,Y,N,N,贝顿星火2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST534,杉阳商品CTA1号,期货策略,量化期货,上海杉阳,2021-09-24,私募基金.xlsx,Y,Y,N,Y,杉阳商品CTA1号私募证券投资基金,1.378200,2021-11-26,0,,22,0,0,N,not_in_universe,,,,
SST550,稳博金秋尊享系列FOF1号,组合策略,FOF,上海稳博投资,2021-09-17,私募基金 (4).xlsx,Y,Y,N,N,稳博金秋尊享系列FOF1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST556,博润稳健量化2号,期权策略,场内期权,北京博润银泰投资,2021-10-14,私募基金 (2).xlsx,Y,Y,Y,Y,博润稳健量化2号私募证券投资基金,1.008000,2026-05-28,0,,0,918,0,N,not_in_universe,,,,
SST577,长安长久1号,组合策略,FOF,湖南钜银,2021-10-14,私募基金 (4).xlsx,Y,Y,N,N,长安长久1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST703,臻远指数量化对冲一号,多资产策略,复合策略,浙江臻远投资,2021-09-28,私募基金 (3).xlsx,Y,Y,N,N,臻远指数量化对冲一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST937,珩景共富XY二期,期货策略,量化期货,杭州珩景资管,2021-10-11,私募基金.xlsx,Y,Y,N,Y,珩景共富XY二期私募证券投资基金,0.840200,2023-01-13,0,,310,0,0,N,not_in_universe,,,,
SST938,远方浩然一号,多资产策略,复合策略,青岛远方,2021-10-11,私募基金 (3).xlsx,Y,Y,N,N,远方浩然一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST940,明策糖糖八号,期货策略,主观期货,浙江明策资管,2021-09-16,私募基金.xlsx,Y,Y,N,Y,明策糖糖八号,1.069500,2026-09-04,279,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SST945,皓邦好心情专享5号,多资产策略,复合策略,上海德贝,2021-09-24,私募基金 (3).xlsx,Y,Y,N,N,皓邦好心情专享5号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST955,晟通管理期货二号,期货策略,量化期货,深圳前海晟通资管,2021-09-29,私募基金.xlsx,Y,Y,N,N,晟通管理期货二号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST960,勤远佰胜多策略,多资产策略,复合策略,上海勤远,2021-09-24,私募基金 (3).xlsx,Y,Y,N,N,勤远佰胜多策略私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST962,新方程好买臻享5号进取型,组合策略,FOF,上海新方程,2021-10-15,私募基金 (4).xlsx,Y,Y,N,N,新方程好买臻享5号进取型私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST971,新方程好买臻享6号进取型,组合策略,FOF,上海新方程,2021-10-15,私募基金 (4).xlsx,Y,Y,N,N,新方程好买臻享6号进取型私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SST981,裕瑞昌裕八号,期货策略,主观期货,青岛裕瑞资管,2021-09-29,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SSU025,智领添金汇1号,期货策略,主观期货,福州智领三联,2021-10-14,私募基金.xlsx,Y,Y,N,N,智领添金汇1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU034,嘉恳无崖3号,组合策略,FOF,上海嘉恳资管,2021-09-16,私募基金 (4).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SSU090,中京信智慧优选1号混合,多资产策略,复合策略,北京中京信资管,2021-09-28,私募基金 (3).xlsx,Y,Y,N,N,中京信智慧优选1号混合私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU162,禾晟源金牛量化一号,期货策略,主观期货,北京禾晟源,2021-09-16,私募基金.xlsx,Y,Y,N,N,禾晟源金牛量化一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU338,南象执象壹号,期货策略,量化期货,杭州南象资管,2021-09-17,私募基金.xlsx,Y,Y,N,Y,南象执象壹号,1.273600,2026-05-22,245,2026-05-22,0,0,0,Y,update_slow,update_slow,3-6m: 火富牛 latest 2026-06-26 before 2026-08; do not pay weekly unless policy changed,,
SSU341,南象执象贰号,期货策略,量化期货,杭州南象资管,2021-09-17,私募基金.xlsx,Y,Y,N,N,南象执象贰号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU349,南象执象叁号,期货策略,量化期货,杭州南象资管,2021-09-17,私募基金.xlsx,Y,Y,N,N,南象执象叁号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU353,中珏CTA五期,期货策略,量化期货,上海中珏,2021-09-24,私募基金.xlsx,Y,Y,N,N,中珏CTA五期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU385,沐盛套利对冲,套利策略,-,湖南沐盛,2021-10-13,私募基金 (1).xlsx,Y,Y,N,N,沐盛套利对冲私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU398,大黄蜂进取9号,期货策略,量化期货,杭州大黄蜂投资,2021-10-14,私募基金.xlsx,Y,Y,N,N,大黄蜂进取9号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU454,邦政价值精选多策略,组合策略,FOF,广东邦政资管,2021-10-19,私募基金 (4).xlsx,Y,Y,N,N,邦政价值精选多策略私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU509,向胤金桂宏观对冲1号,期货策略,主观期货,杭州向胤资管,2021-09-27,私募基金.xlsx,Y,Y,N,N,向胤金桂宏观对冲1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU512,方圆鑫金钥匙与君3号,多资产策略,复合策略,深圳方圆鑫,2021-12-20,私募基金 (3).xlsx,Y,Y,N,N,方圆鑫金钥匙与君3号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU516,向胤万利稳健增强3号,组合策略,FOF,杭州向胤资管,2021-09-27,私募基金 (4).xlsx,Y,Y,N,N,向胤万利稳健增强3号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU643,头狼心意,期货策略,量化期货,青岛头狼,2021-09-23,私募基金.xlsx,Y,Y,N,N,头狼心意私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU650,鹏铁极速量化1号,多资产策略,复合策略,深圳前海鹏铁投资,2021-10-13,私募基金 (3).xlsx,Y,Y,N,N,鹏铁极速量化1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU654,龙帆恒盛稳固8号,套利策略,期货套利,厦门龙帆资管,2021-09-23,私募基金 (1).xlsx,Y,Y,N,Y,龙帆恒盛稳固8号,1.084000,2026-09-04,248,2026-09-04,564,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SSU662,上海宽德飞凡7号一期,多资产策略,复合策略,上海宽德,2021-12-01,私募基金 (3).xlsx,Y,Y,N,Y,上海宽德飞凡7号一期,1.298000,2026-09-04,272,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SSU664,上海宽德飞凡7号二期,多资产策略,复合策略,上海宽德,2021-12-01,私募基金 (3).xlsx,Y,Y,N,Y,上海宽德飞凡7号二期,1.299000,2026-09-04,272,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SSU665,上海宽德飞凡8号一期,多资产策略,复合策略,上海宽德,2021-12-01,私募基金 (3).xlsx,Y,Y,N,Y,上海宽德飞凡8号一期,1.266000,2026-09-04,272,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SSU666,上海宽德飞凡8号二期,多资产策略,复合策略,上海宽德,2021-12-01,私募基金 (3).xlsx,Y,Y,N,Y,上海宽德飞凡8号二期,1.266000,2026-09-04,272,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SSU680,鲁银金石成长1号,多资产策略,复合策略,威海鲁银,2021-09-29,私募基金 (3).xlsx,Y,Y,N,N,鲁银金石成长1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU763,新远晨骏宏观对冲2号,多资产策略,宏观策略,上海新远,2021-10-15,私募基金 (3).xlsx,Y,Y,N,Y,新远晨骏宏观对冲2号,2.769000,2026-08-21,410,2026-08-21,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-21 in/after 2026-08; weekly Friday FundMultiPrice,2026-08-21,no_data
SSU798,海西汇金一心苑格物号,组合策略,FOF,南京南点金学,2021-09-23,私募基金 (4).xlsx,Y,Y,N,N,海西汇金一心苑格物号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU814,高正智宏量化CTA一号,期货策略,量化期货,深圳高正,2021-09-24,私募基金.xlsx,Y,Y,N,N,高正智宏量化CTA一号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU842,金时星辰1号,多资产策略,复合策略,杭州金时资管,2021-09-28,私募基金 (3).xlsx,Y,Y,N,Y,金时星辰1号,2.329000,2026-09-04,275,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SSU846,厚葳远耀18号,组合策略,FOF,上海厚葳,2021-12-01,私募基金 (4).xlsx,Y,Y,N,N,厚葳远耀18号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU858,豪麟瑞丰,期货策略,量化期货,海南豪麟,2021-09-27,私募基金.xlsx,Y,Y,N,N,豪麟瑞丰私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU917,悦珑亨阳1号复合策略,多资产策略,复合策略,晋江市悦珑资管,2021-09-22,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SSU965,瑞颐澎昌优债1号FOF,组合策略,FOF,北京瑞颐投资,2021-10-08,私募基金 (4).xlsx,Y,Y,N,N,瑞颐澎昌优债1号FOF私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSU969,中湛多策略,多资产策略,复合策略,上海寰财,2021-11-01,私募基金 (3).xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SSV023,华实致远1号,多资产策略,复合策略,青岛华实,2021-11-25,私募基金 (3).xlsx,Y,Y,N,N,华实致远1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV074,旌安10号,多资产策略,复合策略,浙江旌安,2021-11-23,私募基金 (3).xlsx,Y,Y,N,N,旌安10号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV081,子辰共富1号,期货策略,量化期货,北京子辰,2021-11-08,私募基金.xlsx,Y,Y,N,N,子辰共富1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV094,翼品碳中和元素周期律1号,多资产策略,复合策略,上海翼品资管,2021-10-13,私募基金 (3).xlsx,Y,Y,N,N,翼品碳中和元素周期律1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV177,懋良锐进基石,期货策略,量化期货,上海懋良投资,2021-11-01,私募基金.xlsx,Y,Y,N,N,懋良锐进基石私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV260,天歌乐成CTA,期货策略,量化期货,北京天歌投资,2021-10-15,私募基金.xlsx,Y,Y,N,N,天歌乐成CTA私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV304,金伯珠尚衍策略七期,套利策略,-,南京金伯珠资管,2021-10-12,私募基金 (1).xlsx,Y,Y,N,N,金伯珠尚衍策略七期私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV305,希塔套利1号,期权策略,场内期权,上海希塔,2021-10-15,私募基金 (2).xlsx,Y,Y,N,Y,希塔套利1号私募证券投资基金,0.905800,2024-11-04,0,,254,0,0,N,not_in_universe,,,,
SSV453,尊和若拙3号,期货策略,量化期货,杭州尊和资管,2021-10-14,私募基金.xlsx,Y,Y,N,N,尊和若拙3号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV477,瑞丰汇邦方成1号,多资产策略,复合策略,珠海瑞丰汇邦,2021-12-13,私募基金 (3).xlsx,Y,Y,N,N,瑞丰汇邦方成1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV514,恒泰融安顺心7号,套利策略,基金套利,深圳恒泰融安投资,2021-09-30,私募基金 (1).xlsx,Y,Y,N,N,恒泰融安顺心7号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV539,瑞桐天成达,套利策略,期货套利,杭州瑞桐,2021-11-01,私募基金 (1).xlsx,Y,Y,N,N,瑞桐天成达私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV597,国道量化多空2号,多资产策略,复合策略,上海国道资管,2021-10-27,私募基金 (3).xlsx,Y,Y,N,N,国道量化多空2号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV607,恒汇泰东升1号,多资产策略,宏观策略,江苏恒汇泰,2021-09-29,私募基金 (3).xlsx,Y,Y,N,N,恒汇泰东升1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV609,科乐瀚悦壹号,期货策略,量化期货,深圳科乐投资,2021-11-04,私募基金.xlsx,N,N,N,N,,,,0,,0,0,0,N,not_in_universe,,,,
SSV623,国道天定1号,多资产策略,复合策略,上海国道资管,2021-10-10,私募基金 (3).xlsx,Y,Y,N,N,国道天定1号私募证券投资基金,,,0,,0,0,0,N,not_in_universe,,,,
SSV641,叁道合力至远1号,组合策略,FOF,广东叁道合力投资,2021-10-28,私募基金 (4).xlsx,Y,Y,N,Y,叁道合力至远1号,1.099300,2026-09-04,350,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-28 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
SSV643,融相怀衷一号,多资产策略,宏观策略,海南融相,2021-11-03,私募基金 (3).xlsx,Y,Y,N,Y,融相怀衷一号,1.403300,2026-09-04,270,2026-09-04,0,0,0,Y,weekly,weekly,3-6m: 火富牛 latest 2026-08-31 in/after 2026-08; weekly Friday FundMultiPrice,2026-09-04,ok
