beian_hao,product_name,list_nav_date,list_nav,nav_table_max_date,nav_table_nav_at_max,have_latest_date,date_bucket,empty_date_probe,fof99_policy
SJ4346,远澜火松,2026-08-28,1.658200,2026-08-28,1.658200,2026-08-28,1个月内,,weekly
SJ6959,刀锋宏观全天候,2026-08-28,1.015000,2026-08-28,1.015000,2026-08-28,1个月内,,weekly
SJA607,岳皋泰山一号,2026-08-28,0.994000,2026-08-28,0.994000,2026-08-28,1个月内,,weekly
SJG469,复熙混合8号,2026-08-28,1.586000,2026-08-28,1.586000,2026-08-28,1个月内,,weekly
SJN775,探索者量化期权1号,2026-08-28,1.241000,2026-08-28,1.241000,2026-08-28,1个月内,,weekly
SJX186,博孚利尊享15号FOF,2026-08-28,2.157800,2026-08-28,2.157800,2026-08-28,1个月内,,weekly
SJZ449,文谛量化臻选九号,2026-08-28,1.526000,2026-08-28,1.526000,2026-08-28,1个月内,,weekly
SL9566,博益安盈精英1号,2026-08-28,2.030000,2026-08-28,2.030000,2026-08-28,1个月内,,weekly
SLA149,霖海合璧1期私募证券投资基金,2026-08-28,1.058000,2026-08-28,1.058000,2026-08-28,1个月内,,weekly
SLA373,价远价值远航,2026-08-28,0.629400,2026-08-28,0.629400,2026-08-28,1个月内,,weekly
SLH894,复熙量化可转债1号,2026-08-28,1.327400,2026-08-28,1.327400,2026-08-28,1个月内,,weekly
SLK113,量道瑞风量化多策略1号,2026-08-28,1.443900,2026-08-28,1.443900,2026-08-28,1个月内,,weekly
SLN974,交睿宏观配置2号,2026-08-28,1.408000,2026-08-28,1.408000,2026-08-28,1个月内,,weekly
SLS211,稳博500指数增强多策略1号,2026-08-28,1.226900,2026-08-28,1.226900,2026-08-28,1个月内,,weekly
SLS332,佑维CTA进取三号,2026-08-28,1.231500,2026-08-28,1.231500,2026-08-28,1个月内,,weekly
SLT126,博孚利国强1号,2026-08-28,1.355000,2026-08-28,1.355000,2026-08-28,1个月内,,weekly
SLU048,金斧子水星CTA精选FOF一号,2026-08-28,1.213400,2026-08-28,1.213400,2026-08-28,1个月内,,weekly
SLX793,新湖期货博胜1号集合资产管理计划,2026-08-28,1.289000,2026-08-28,1.289000,2026-08-28,1个月内,,weekly
SN6652,外贸信托·同犇1期证券投资集合资金信托计划,2026-08-28,6.333600,2026-08-28,6.333600,2026-08-28,1个月内,,weekly
SNE564,紫阁同爽1号,2026-08-28,1.008000,2026-08-28,1.008000,2026-08-28,1个月内,,weekly
SNF469,元康投资-稳健添利1号,2026-08-28,0.998700,2026-08-28,0.998700,2026-08-28,1个月内,,weekly
SNJ202,量客500指增私募证券投资基金,2026-08-28,1.300000,2026-08-28,1.300000,2026-08-28,1个月内,,weekly
